,entity,summary,headline
121,DAL," Delta Air Lines Inc was sued on Tuesday by the Port Authority of New York and New Jersey for damage caused when a jet skidded off a runway at New York's LaGuardia Airport during a March 5, 2015, snowstorm.,,,,,,","Delta is sued by Port Authority over 2015 skid at NY's LaGuardia AirportNEW YORK, Feb 27 (Reuters) "
122,AWK,nan,New Jersey American Water signs agreement to purchase Roxbury Water Company
123,O,nan,Is The Dividend Of Realty Income Sustainable? A Cash Flow Analysis
124,D,"SINGAPORE/LONDON, April 16 (Reuters) - The first contractual liquefied natural gas (LNG) cargo from Dominion Energy Inc's newly constructed Cove Point LNG export plant in Maryland in the United States left the facility on Monday, Thomson Reuters E...,,,,,,",U.S. Cove Point LNG terminal begins commercial LNG deliveries  data
125,LMT,nan,Raytheon: Operational Strength Creates Value For Shareholders
126,NVDA,nan,By The Numbers: Growth Leaders With Rising Earnings Expectations
127,ECL," Earnings Call Slides-The following slide deck was published by Ecolab Inc. in conjunction with their 2018 Q2 earnings call.,,,,,,",Ecolab Inc. 2018 Q2  Results 
128,UTX,nan,Defense stocks in focus after Syria attack
129,VTR,"boomer retirements gathers strength and demand for senior housing catches up with supply. A total return of over 20% is possible.,,,,,,",A Senior Living REIT Boasting a Nearly 6% YieldVentas will benefit as the wave of baby
130,ISRG,"Intuitive Surgical (ISRG) gains on solid Q1 results and strength in da Vinci platform.,,,,,,",Here's Why You Should Invest in Intuitive Surgical Right Now
131,FTI,nan,TechnipFMC declares $0.13 dividend
132,ADI,"Yahoo Finance's Alexis Christoforous and Jared Blikre break down the latest market action after the company reported first quarter earnings that beat Wall Street expectations.Here's the performance of the components of the Nasdaq 100 Index as of...,,,,,,","EARNINGS: Blackberry reports surprise profit, stock volatile in early trading"
133,VZ,nan,Missed A Hot IPO? Subscriptions Soar Towards 5 Million At This Startup
134,EQT,nan,"Top 10 Market Movers With Insider Buying As Of June 8, 2018"
135,DISCK,"Discovery Communications (DISCA) looks well positioned for a solid gain, but has been overlooked by investors lately.,,,,,,","Investors' Radars Failed to Catch Discovery Communications (DISCA), Has Yours?"
136,ROK,nan,Rockwell Automation declares $0.92 dividend
137,VRTX,nan,Pfizer facing difficult path to ramp up biosimilar business
138,CCI,"Fair trade regulator CCI has dismissed two complaints alleging abuse of dominance against realty major DLF with regard to conditions in the sale agreement of residential apartments in Gurgaon. Apart from DLF, the complaints were also against DLF N...,,,,,,",CCI dismisses two complaints against DLF
139,PPL,"PPL Corp's (PPL) Q2 earnings beat estimates due to strong contribution from its U.K. regulated operations.,,,,,,","PPL Corp (PPL) Beats Q2 Earnings Estimates, Raises Guidance"
140,EA,"quarter 2018 results are likely to benefit from its shift to digital. However, underperformance of Battlefront 2 will remain an overhang.,,,,,,",Electronic Arts (EA) to Report Q4 Earnings: What's in Store?Electronic Arts' (EA) fiscal fourth
141,UA,"GoPro, Fitbit, and Under Armour all overestimated their premium appeal.,,,,,,",These 3 Companies Lost Their Pricing Power
142,CHD,nan,Taking A Closer Look At Unilever
143,ROP,nan,"Roper beats by $0.12, beats on revenue"
144,ISRG,"Is (ISRG) Outperforming Other Medical Stocks This Year?,,,,,,",Has Intuitive Surgical (ISRG) Outpaced Other Medical Stocks This Year?
